iter	F1	Logloss
0	0.791635764	0.687212873
1	0.7917693962	0.6816445724
2	0.7911034953	0.6759736239
3	0.7921152905	0.6704753161
4	0.7924873141	0.6652152924
5	0.7930011264	0.6601556183
6	0.7945730164	0.6548923417
7	0.7942780901	0.6500379822
8	0.7976139604	0.6448283309
9	0.7975311335	0.6400610295
10	0.7975262519	0.6355185788
11	0.797402518	0.6310915981
12	0.7991473256	0.6266249183
13	0.8008742487	0.6220225179
14	0.800140694	0.617875785
15	0.7994375171	0.6139383215
16	0.7991146794	0.6100879659
17	0.7996196299	0.60619847
18	0.8008157244	0.602230122
19	0.8007800143	0.59849687
20	0.8010797882	0.5948797528
21	0.8013091929	0.5913785835
22	0.8015219647	0.5880070372
23	0.8014385259	0.5846600694
24	0.8019305319	0.5813701344
25	0.8016419652	0.5782248682
26	0.8017618482	0.575145401
27	0.8016156205	0.5720508423
28	0.8026416382	0.5686970006
29	0.8033451115	0.5658235997
30	0.8036629087	0.5630185889
31	0.8034567859	0.5602568648
32	0.8035075903	0.5575932321
33	0.8042987206	0.5548099506
34	0.8049026453	0.5519193803
35	0.8052537324	0.5489148888
36	0.8056548964	0.5465233331
37	0.8055277941	0.544248653
38	0.8058302205	0.5419632356
39	0.8061998139	0.5392044949
40	0.8072530685	0.5365525211
41	0.8071547966	0.534209329
42	0.8077596103	0.531933435
43	0.8083509104	0.5298929177
44	0.8085434518	0.5279265405
45	0.8084364891	0.525997055
46	0.8092965918	0.5237716475
47	0.8093394931	0.5217490616
48	0.8093110239	0.5199491596
49	0.8090544309	0.5181570656
50	0.809010478	0.516430185
51	0.8086642911	0.5147244276
52	0.8084612831	0.5130219144
53	0.8084673333	0.5113683527
54	0.8081768871	0.5097611872
55	0.8088205508	0.5078668405
56	0.8092172174	0.5058582062
57	0.8096847332	0.5041763284
58	0.8096490472	0.5027300843
59	0.8095431	0.5011701119
60	0.8097638814	0.4997752269
61	0.8097807568	0.4984747124
62	0.8104259267	0.4966864466
63	0.8103734708	0.4953516502
64	0.810858189	0.4937538907
65	0.8110790118	0.4923367904
66	0.8112162933	0.4909754212
67	0.8117294206	0.4896214743
68	0.8116924618	0.4884303742
69	0.8117968909	0.4871551563
70	0.8118827287	0.4860302154
71	0.8117921083	0.4848930653
72	0.8114788455	0.4837931225
73	0.8114357334	0.4827160263
74	0.8114444785	0.4815933704
75	0.8117596195	0.4804146173
76	0.8120955366	0.4790133472
77	0.8121055887	0.4780823652
78	0.8124926993	0.4768186929
79	0.8124956726	0.4759516223
80	0.8128611184	0.4746456301
81	0.8130116478	0.4736540958
82	0.813232182	0.4726428431
83	0.8133470652	0.4716235173
84	0.813635616	0.4705325177
85	0.8135946875	0.4696500669
86	0.8140128822	0.4684104214
87	0.814185122	0.4674973448
88	0.8141175044	0.4666893511
89	0.8139845233	0.4658346482
90	0.8143712056	0.4646571104
91	0.8144041199	0.4639204086
92	0.814972131	0.4627714698
93	0.8149759878	0.4619052157
94	0.8151886003	0.4611093649
95	0.815455554	0.4602574884
96	0.8163528826	0.4587052509
97	0.8165275213	0.4579695558
98	0.8167394046	0.4570027661
99	0.8169761273	0.4561478531
100	0.8171572838	0.4553942716
101	0.8175779742	0.4544269455
102	0.8179137103	0.4536141201
103	0.8178766297	0.4530032347
104	0.8178990521	0.4524073254
105	0.8182445541	0.4514917653
106	0.8188239786	0.4504292795
107	0.818817811	0.4498788333
108	0.8189189658	0.4493481671
109	0.8189465825	0.4487373224
110	0.8191441803	0.4479010906
111	0.8189810493	0.4473664194
112	0.8193441428	0.446470956
113	0.8195866223	0.4457503984
114	0.8199730118	0.4449906767
115	0.8199256996	0.4444990641
116	0.8198696828	0.4440444747
117	0.8199128898	0.4435471107
118	0.8203290905	0.4424981159
119	0.8205689468	0.4419454054
120	0.8208055324	0.4412868074
121	0.8214657958	0.4401639614
122	0.8220023111	0.4393907397
