iter	Passed	Remaining
0	21	43330
1	42	42709
2	63	42458
3	83	41426
4	103	41332
5	124	41224
6	143	40776
7	163	40643
8	181	40134
9	201	39999
10	222	40145
11	247	40947
12	270	41401
13	294	41761
14	319	42230
15	340	42282
16	362	42324
17	383	42179
18	402	41985
19	424	41980
20	443	41797
21	463	41651
22	484	41684
23	507	41743
24	528	41768
25	548	41656
26	568	41544
27	588	41437
28	608	41382
29	630	41412
30	650	41302
31	671	41301
32	690	41187
33	710	41104
34	731	41074
35	750	40938
36	770	40903
37	791	40847
38	810	40756
39	832	40806
40	858	41015
41	880	41067
42	906	41248
43	930	41353
44	953	41413
45	974	41388
46	993	41273
47	1015	41302
48	1038	41339
49	1059	41339
50	1080	41295
51	1102	41308
52	1122	41225
53	1142	41164
54	1165	41221
55	1189	41296
56	1216	41468
57	1244	41658
58	1270	41804
59	1297	41952
60	1324	42095
61	1345	42065
62	1367	42052
63	1387	41979
64	1408	41922
65	1432	41978
66	1454	41964
67	1477	41989
68	1500	41979
69	1524	42031
70	1545	41993
71	1565	41913
72	1586	41881
73	1609	41894
74	1636	41994
75	1658	41987
76	1681	41981
77	1702	41960
78	1725	41962
79	1748	41963
80	1771	41974
81	1791	41899
82	1810	41819
83	1832	41801
84	1852	41732
85	1874	41712
86	1895	41673
87	1916	41639
88	1936	41578
89	1957	41550
90	1976	41473
91	1997	41435
92	2018	41383
93	2037	41322
94	2059	41303
95	2078	41232
96	2103	41258
97	2123	41207
98	2142	41138
99	2166	41171
100	2187	41136
101	2208	41089
102	2227	41027
103	2263	41268
104	2290	41332
105	2316	41383
106	2335	41316
107	2356	41282
108	2376	41226
109	2396	41174
110	2417	41141
111	2437	41088
112	2460	41080
113	2480	41035
114	2500	40989
115	2520	40936
116	2540	40885
117	2560	40837
118	2583	40844
119	2605	40823
120	2626	40783
121	2648	40767
122	2668	40726
123	2692	40729
124	2715	40736
125	2739	40745
126	2762	40737
127	2786	40745
128	2812	40791
129	2839	40843
130	2862	40837
131	2889	40884
132	2911	40864
133	2936	40892
134	2960	40895
135	2987	40947
136	3014	40990
137	3041	41031
138	3064	41025
139	3090	41061
140	3117	41098
141	3143	41136
142	3170	41173
143	3191	41141
144	3213	41115
145	3235	41084
146	3257	41061
147	3279	41036
148	3303	41032
149	3323	40995
150	3346	40975
151	3368	40953
152	3388	40911
153	3411	40898
154	3435	40894
155	3456	40856
156	3476	40810
157	3499	40792
158	3520	40761
159	3542	40743
160	3567	40744
161	3588	40719
162	3611	40702
163	3633	40678
164	3655	40656
165	3677	40633
166	3699	40600
167	3721	40585
168	3743	40561
169	3766	40548
170	3788	40525
171	3809	40490
172	3835	40506
173	3859	40503
174	3881	40473
175	3904	40464
176	3934	40527
177	3970	40646
178	3996	40660
179	4021	40659
180	4045	40659
181	4066	40616
182	4087	40581
183	4113	40593
184	4136	40587
185	4160	40574
186	4183	40563
187	4209	40571
188	4232	40560
189	4257	40561
190	4283	40566
191	4308	40569
192	4333	40570
193	4354	40540
194	4377	40523
195	4399	40496
196	4423	40488
197	4447	40477
198	4467	40433
199	4489	40407
200	4511	40379
201	4533	40348
202	4555	40325
203	4577	40296
204	4599	40273
205	4625	40278
206	4648	40263
207	4669	40231
208	4693	40217
209	4716	40199
210	4742	40207
211	4765	40191
212	4786	40158
213	4809	40142
214	4831	40115
215	4851	40070
216	4875	40057
217	4896	40028
218	4920	40011
219	4942	39992
220	4967	39983
221	4990	39969
222	5012	39945
223	5036	39933
224	5058	39904
225	5079	39873
226	5103	39859
227	5124	39827
228	5146	39801
229	5167	39767
230	5188	39735
231	5211	39715
232	5234	39697
233	5256	39670
234	5282	39672
235	5306	39661
236	5330	39651
237	5353	39633
238	5376	39616
239	5398	39586
240	5420	39559
241	5442	39539
242	5465	39516
243	5488	39497
244	5508	39457
245	5530	39435
246	5554	39422
247	5575	39385
248	5595	39349
249	5617	39323
250	5637	39281
251	5659	39255
252	5681	39230
253	5703	39207
254	5725	39181
255	5747	39157
256	5768	39124
257	5791	39106
258	5814	39084
259	5835	39053
260	5858	39031
261	5882	39022
262	5904	38997
263	5927	38975
264	5950	38960
265	5972	38934
266	5994	38910
267	6016	38881
268	6038	38858
269	6062	38846
270	6086	38831
271	6108	38804
272	6129	38773
273	6150	38746
274	6173	38723
275	6194	38694
276	6216	38670
277	6239	38648
278	6263	38633
279	6285	38608
280	6306	38581
281	6329	38562
282	6351	38533
283	6375	38520
284	6396	38490
285	6417	38462
286	6440	38443
287	6462	38413
288	6485	38395
289	6506	38368
290	6529	38345
291	6550	38314
292	6572	38288
293	6595	38272
294	6619	38256
295	6641	38235
296	6664	38213
297	6686	38190
298	6708	38164
299	6727	38125
300	6749	38099
301	6772	38079
302	6794	38054
303	6817	38037
304	6840	38016
305	6863	37994
306	6886	37979
307	6910	37961
308	6931	37934
309	6956	37925
310	6979	37906
311	7002	37888
312	7026	37869
313	7047	37842
314	7070	37820
315	7095	37811
316	7118	37791
317	7139	37760
318	7161	37735
319	7182	37705
320	7203	37677
321	7226	37661
322	7248	37636
323	7271	37613
324	7294	37595
325	7317	37575
326	7340	37553
327	7362	37528
328	7381	37490
329	7403	37466
330	7425	37440
331	7446	37414
332	7471	37404
333	7495	37385
334	7518	37370
335	7541	37346
336	7562	37321
337	7584	37292
338	7607	37274
339	7631	37261
340	7654	37237
341	7675	37211
342	7698	37191
343	7722	37175
344	7745	37156
345	7768	37135
346	7789	37107
347	7812	37087
348	7835	37068
349	7858	37045
350	7881	37026
351	7905	37013
352	7930	37001
353	7954	36987
354	7979	36977
355	8001	36950
356	8023	36925
357	8047	36909
358	8075	36911
359	8116	36974
360	8137	36943
361	8159	36919
362	8182	36898
363	8206	36883
364	8230	36868
365	8252	36843
366	8276	36829
367	8298	36803
368	8322	36785
369	8345	36764
370	8367	36740
371	8390	36720
372	8412	36694
373	8434	36669
374	8458	36652
375	8482	36637
376	8504	36613
377	8527	36593
378	8550	36571
379	8572	36547
380	8597	36535
381	8621	36518
382	8643	36492
383	8666	36470
384	8689	36449
385	8711	36426
386	8733	36400
387	8758	36386
388	8780	36363
389	8804	36347
390	8827	36325
391	8849	36300
392	8873	36284
393	8895	36259
394	8918	36237
395	8941	36217
396	8964	36197
397	8986	36170
398	9010	36153
399	9032	36129
400	9056	36113
401	9079	36090
402	9101	36067
403	9125	36049
404	9148	36030
405	9172	36012
406	9195	35991
407	9218	35969
408	9240	35946
409	9262	35920
410	9286	35904
411	9309	35882
412	9331	35858
413	9353	35832
414	9376	35811
415	9398	35787
416	9422	35768
417	9444	35744
418	9468	35727
419	9490	35700
420	9510	35671
421	9532	35646
422	9555	35624
423	9577	35600
424	9601	35583
425	9625	35563
426	9650	35550
427	9673	35528
428	9696	35508
429	9719	35486
430	9742	35466
431	9765	35445
432	9789	35426
433	9811	35402
434	9834	35381
435	9855	35354
436	9879	35336
437	9902	35315
438	9925	35294
439	9950	35279
440	9974	35261
441	9996	35235
442	10020	35217
443	10040	35185
444	10061	35159
445	10087	35147
446	10110	35126
447	10133	35105
448	10155	35081
449	10178	35060
450	10202	35042
451	10223	35013
452	10247	34995
453	10268	34968
454	10292	34950
455	10315	34927
456	10337	34903
457	10360	34881
458	10382	34858
459	10404	34831
460	10429	34816
461	10451	34792
462	10473	34767
463	10498	34753
464	10520	34727
465	10545	34713
466	10567	34690
